;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;demographic;duration;rating;score;ranked;popularity;members;favorites;platforms;synopsis;theme;genre
77;Blood: The Last Vampire;https://myanimelist.net/anime/405/Blood__The_Last_Vampire;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;BLOOD THE LAST VAMPIRE (ブラッド ザ ラスト ヴァンパイア);Movie;1;Finished Airing;Nov 18, 2000;;;['Aniplex', 'Sony Interactive Entertainment', 'Information-technology Promotion Agency'];Manga Entertainment;Production I.G;Original;['Award Winning', 'Horror', 'Supernatural'];['Gore', 'Vampire'];;48 min.;R - 17+ (violence & profanity);6.88;#4603;#1810;105,918;241;[];Teropterids are evil beasts which pose as humans and live only to drink human blood. Fortunately for the human world there are groups dedicated to destroying them. A brooding and mysterious girl named Saya is the best teropterid slayer there is, and now, in 1960s Japan, she is sent to a U. S. army base which may be infested...  (Source: ANN);;
78;Yami Shibai;https://myanimelist.net/anime/19383/Yami_Shibai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Yamishibai: Japanese Ghost Stories;闇芝居;TV;13;Finished Airing;Jul 15, 2013 to Sep 30, 2013;Summer 2013;Unknown;['TV Tokyo'];Sentai Filmworks;ILCA;Original;['Avant Garde', 'Horror', 'Supernatural'];;;4 min. per ep.;PG-13 - Teens 13 or older;7.01;#4062;#1847;102,227;299;['Crunchyroll', 'HIDIVE'];The mysterious, yellow-masked Storyteller is a man whose true name and origin are both unknown. He appears at dusk where children gather and recites sinister tales based on Japanese urban legends, to which his young audience eerily intakes. However, the Storyteller is no ordinary teller of tales. He incorporates a kamishibai, a traditional paper-scrolling device, to add visuals to his already demented narration.  A series of short horror stories, Yami Shibai begins with a bachelor who, after moving into a new apartment, immediately starts sensing a malevolent glare being pressed into him. A single talisman rests on his ceiling, but he has no way of knowing it is one of the few safeguards that separate him from a bottomless pit of suffering. Each story is more terrifying, more appalling, and more sickening than the last as the Storyteller's audience find themselves being sucked into the vicious world of his words.  [Written by MAL Rewrite];;
79;Higurashi no Naku Koro ni Sotsu;https://myanimelist.net/anime/48488/Higurashi_no_Naku_Koro_ni_Sotsu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;When the Cicadas Cry, The Moment the Cicadas Cry;ひぐらしのなく頃に卒;TV;15;Finished Airing;Jul 1, 2021 to Sep 30, 2021;Summer 2021;Thursdays at 23:30 (JST);['None found', 'add some'];Funimation;Passione;Visual novel;['Avant Garde', 'Horror', 'Mystery', 'Supernatural', 'Suspense'];['Gore', 'Psychological'];;23 min. per ep.;R - 17+ (violence & profanity);6.74;#5316;#1863;100,793;695;['Crunchyroll', 'Funimation', '', '', '', '', '', '', ''];Rika Furude and Satoko Houjou are best friends who have lived in the small village of Hinamizawa for their entire lives. Alongside their other friends, they spend every day together, and every moment is filled with fun and laughter. However, as Rika and Satoko begin to grow older, a life-changing opportunity presents itself to both of them. Rika is determined to follow her dreams and wants Satoko by her side.  Although Satoko is hesitant, she decides to walk this path with Rika. However, the realization of her dream forms a rift between them. This leaves the girls living in completely different worlds, with Rika enjoying her new life and making new friends while Satoko grows more and more isolated.  Longing to return to the nostalgic days in Hinamizawa, Satoko despairs and wishes things could be changed. Just when she is at wits' end, an encounter with a supernatural entity changes Satoko's perception and imparts new revelations about her best friend Rika. This begins her journey to get the future she desires—by any means necessary.  [Written by MAL Rewrite];;
80;Super Danganronpa 2.5: Komaeda Nagito to Sekai no Hakaimono;https://myanimelist.net/anime/34152/Super_Danganronpa_25__Komaeda_Nagito_to_Sekai_no_Hakaimono;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;スーパーダンガンロンパ2.5 狛枝凪斗と世界の破壊者;OVA;1;Finished Airing;Jan 12, 2017;;;['None found', 'add some'];None found, add some;Lerche;Visual novel;['Action', 'Horror', 'Mystery', 'Suspense'];;;25 min.;R - 17+ (violence & profanity);7.14;#3442;#1914;97,723;392;[];"At Hope's Peak Academy, a school full of extraordinarily talented individuals, Nagito Komaeda is an ordinary boy with no special traits or interesting skills to speak of—except for his incredible unluckiness. Just walking to school in the morning leads to a number of unfortunate accidents, which only escalate as the day goes on. Despite this, Komaeda leads a relatively normal life and is satisfied with his modest slice of happiness.  But everything changes when a mysterious boy who declares himself the ""Destroyer of the World"" arrives to shatter this hopeless paradise.  [Written by MAL Rewrite]";Psychological;
81;Blood-C: The Last Dark;https://myanimelist.net/anime/10681/Blood-C__The_Last_Dark;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Blood-C Movie, Gekijouban Blood-C;劇場版 ブラッドシー ザ ラスト ダーク;Movie;1;Finished Airing;Jun 2, 2012;;;['Aniplex', 'Dentsu', 'Shochiku', 'Kadokawa Shoten', 'Mainichi Broadcasting System', 'Dwango'];Funimation;Production I.G;Original;['Action', 'Horror', 'Supernatural'];['Gore', 'Vampire'];;1 hr. 46 min.;R+ - Mild Nudity;7.17;#3237;#1936;95,722;227;[];Having escaped the many horrors of her village, Saya Kisaragi vows to hunt down the monster responsible and make him pay with his life. As she tears through flesh and bone for her vendetta, she encounters SIRRUT, a group of ingenious hackers, who enlist Saya to help them defeat a common enemy—someone she knows all too well.  Unfortunately, the path she follows is paved with tragedy, as once again, Saya faces betrayal at the hands of those she has come to trust. With her back against the wall, the fearsome monster slayer must fight with all her strength and skill if she is to overcome this final mission and exact vengeance.  [Written by MAL Rewrite];;
82;Uzumaki;https://myanimelist.net/anime/40333/Uzumaki;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;The Spiral;うずまき;TV;4;Not yet aired;2023 to ?;?;Unknown;['Production I.G'];None found, add some;Drive;Manga;['Avant Garde', 'Drama', 'Horror', 'Romance', 'Supernatural', 'Suspense'];;Seinen;Unknown;None;N/A;N/A;#1953;94,233;346;[];In the town of Kurouzu-cho, Kirie Goshima lives a fairly normal life with her family. As she walks to the train station one day to meet her boyfriend, Shuuichi Saito, she sees his father staring at a snail shell in an alley. Thinking nothing of it, she mentions the incident to Shuuichi, who says that his father has been acting weird lately. Shuuichi reveals his rising desire to leave the town with Kirie, saying that the town is infected with spirals.  But his father's obsession with the shape soon proves deadly, beginning a chain of horrific and unexplainable events that causes the residents of Kurouzu-cho to spiral into madness.  [Written by MAL Rewrite];Psychological;
83;Kurozuka;https://myanimelist.net/anime/5039/Kurozuka;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Black Tomb;黒塚;TV;12;Finished Airing;Oct 7, 2008 to Dec 23, 2008;Fall 2008;Tuesdays at 22:00 (JST);['Sony Pictures Entertainment'];Mill Creek Entertainment;Madhouse;Manga;['Action', 'Drama', 'Horror', 'Romance', 'Sci-Fi'];['Historical', 'Vampire'];Seinen;23 min. per ep.;R - 17+ (violence & profanity);6.88;#4579;#1959;93,971;305;[];In 12th-century Japan, swordsman Kurou escapes ghastly pursuers into a deep forest with his servant Benkei. Seeking shelter, the two find themselves within the secluded abode of the mysterious and beautiful Kuromitsu. While they are warmly accepted, the men are warned to never enter Kuromitsu's room.  However, driven by innate curiosity and perhaps a condemned love, Kurou peeks through the ajar door, only to find Kuromitsu feasting on the blood of fallen men. He soon learns Kuromitsu is an immortal vampire, and dedicates himself to her—even becoming a vampire himself in order to spend eternity with her. But the cryptic organization known as the Red Army has enlisted the help of Benkei, who betrays Kurou and severs his head.  Awaking centuries into the future in an apocalyptic modern-day Japan, Kurou sets off to reunite with his lover and exact revenge on the Red Army.  [Written by MAL Rewrite];;
84;Gantz:O;https://myanimelist.net/anime/32071/Gantz_O;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Gantz Movie;GANTZ:O;Movie;1;Finished Airing;Oct 14, 2016;;;['Dentsu', 'Toho', 'Lawson HMV Entertainment', 'King Records', 'Fields', 'Kyoraku Industrial Holdings', 'Jinnan Studio'];None found, add some;Digital Frontier;Manga;['Action', 'Drama', 'Horror', 'Sci-Fi', 'Supernatural', 'Ecchi'];['Gore', 'Psychological', 'Survival'];Seinen;1 hr. 36 min.;R+ - Mild Nudity;7.41;#2055;#1962;93,801;326;['Netflix'];"Death does not have to be the end; one can live again, but only through beating the game posed by the black ball called Gantz.  On his way home to celebrate his younger brother's birthday, brave and kind-hearted student named Masaru Katou is stabbed to death. He awakes in a small room with a cityscape view in the heart of Tokyo—and he is not alone. To his surprise, it is not the afterlife, but the waiting room for a high stakes game with their lives on the line. Before he has the chance to process the situation, Masaru is handed a gun and teleported into the center of Osaka to carry out one simple task: eliminate any alien on sight.  Accompanied by the aged Yoshikazu Suzuki, the stunning idol Reika Shimohira, and the cold but experienced Jouichirou Nishi, Masaru must overcome his fears in order to survive the game and return home to his waiting brother.  [Written by MAL Rewrite]";;
85;Hellsing: The Dawn;https://myanimelist.net/anime/11077/Hellsing__The_Dawn;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Hellsing: The Dawn - A supplementary of HELLSING, Hellsing OVA Specials, Hellsing Ultimate Specials, Drifters;HELLSING THE DAWN;Special;3;Finished Airing;Jul 27, 2011 to Dec 26, 2012;;;['None found', 'add some'];Funimation;Graphinica;Manga;['Action', 'Horror', 'Supernatural'];['Gore', 'Vampire'];Seinen;10 min. per ep.;R - 17+ (violence & profanity);7.13;#3482;#1982;92,202;134;[];During the height of World War II, Nazi Germany seeks to strengthen their soldiers with technology crafted under the influence of vampiric biology. Out of fear of this technology turning the tide of war in the Axis's favor, Sir Arthur Hellsing enlists his butler and soldier Walter C. Dornez and vampire Alucard to put a stop to the German plot, sending the two men into a conflict that will scar them both forever.  [Written by MAL Rewrite];;
86;Tokyo Majin Gakuen Kenpucho: Tou;https://myanimelist.net/anime/1860/Tokyo_Majin_Gakuen_Kenpucho__Tou;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Tokyo Majin Gakuen Kenpuchou;東京魔人學園剣風帖　龖（トウ）;TV;14;Finished Airing;Jan 19, 2007 to Apr 20, 2007;Winter 2007;Fridays at 23:00 (JST);['Trinity Sound', 'Imagine'];ADV Films, Funimation;AIC Spirits, BeSTACK;Game;['Action', 'Drama', 'Fantasy', 'Horror', 'Supernatural'];['Martial Arts', 'School'];;24 min. per ep.;R - 17+ (violence & profanity);7.07;#3750;#2024;89,456;299;['Crunchyroll', 'Funimation'];"Something evil is stirring in the shadows of Tokyo...  During the spring of his senior year in high school, quiet Tatsuma Hiyuu transfers to Magami Academy in Shinjuku. The mysterious boy's ""outsider"" status and his profound skills in martial arts quickly earn him the friendship of class delinquent Kyouichi Houraiji. Through an uncanny connection and a happenstance challenge, he also meets Yuuya Daigo of the wrestling club, the captain of the girls' archery club, Komaki Sakurai, and Aoi Misato, the Student Council President.  During their encounter, there is a sudden, harsh disruption of the Ryumyaku (literally Dragon Pulse, otherwise known as Dragon Vein or Dragon Stream), the flow of arcane energy. The surge awakens within the five teenagers a latent power, giving them each a supernatural ability. Enlightened to their newly acquired gifts by Hisui, the young heir of the Kisaragi Clan who maintains his family's antiques shop - as well as their duty to protect Tokyo from Oni (demons) - the Magami students decide to use their power to protect the city from the onslaught of dark forces.  Battling the demons alongside Hisui Kisaragi, the five unlikely friends discover that they may have to face a greater threat to Tokyo other than destroying a few malevolent, random monsters. The Ryumyaku had been disrupted by force, from someone invoking the Dark Arts - and that person has a wicked desire to unleash a long-dead evil.  Can the teenagers overcome their own fears and flaws to fight against the Dark Arts? And soon they will also have to face their own destinies as they discover their Stars of Fate.  This anime is based on a manga, which was based on the Nintendo role-playing video game originally released in 1998.";;
87;Terra Formars: Revenge;https://myanimelist.net/anime/31430/Terra_Formars__Revenge;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Terra Formars 2nd Season, Terraformars 2;テラフォーマーズ リベンジ;TV;13;Finished Airing;Apr 2, 2016 to Jun 25, 2016;Spring 2016;Saturdays at 01:05 (JST);['Warner Bros. Japan', 'Ultra Super Pictures', 'MAGES.', 'Good Smile Company', 'Shueisha', 'Kyoraku Industrial Holdings', 'Animatic'];VIZ Media;TYO Animations, LIDENFILMS;Manga;['Action', 'Horror', 'Sci-Fi'];['Gore', 'Space', 'Survival'];Seinen;24 min. per ep.;R - 17+ (violence & profanity);6.66;#5755;#2033;88,751;102;['Crunchyroll'];In Terra Formars Revenge, the crew members of the Annex I continue to fight against Terraformars—the large humanoid cockroaches that evolved from the ones sent to Mars centuries ago. However, far from discovering the cure for the lethal Alien Engine Virus that has been plaguing Earth, the Annex I team have learned that some squadrons have agendas from their own countries. Now, the squadrons must not only fight against the Terraformars for their survival, but also each other in the never-ending battle for international dominance.  [Written by MAL Rewrite];;
88;Sankarea: Wagahai mo... Zombie de Aru...;https://myanimelist.net/anime/16694/Sankarea__Wagahai_mo_Zombie_de_Aru;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Sankarea Special, Sankarea Episode 13;さんかれあ 吾輩も... ゾンビである...;Special;1;Finished Airing;Nov 30, 2012;;;['Lantis', 'Pony Canyon', 'TBS', 'Kodansha', 'BS-TBS'];Funimation;Studio Deen;Manga;['Comedy', 'Horror', 'Romance', 'Supernatural', 'Ecchi'];;Shounen;24 min.;R+ - Mild Nudity;7.21;#3033;#2115;82,868;41;['Crunchyroll'];"Extra episode included on BD/DVD vol. 6; effectively episode 13.  Despite their decaying bodies, Rea’s zombie power comes in handy both at school and at home, and Babu gets interested in another cat—although this particular feline is one of the living.  (Source: FUNimation)";;
89;Vampire Hunter D;https://myanimelist.net/anime/732/Vampire_Hunter_D;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;吸血鬼〈バンパイア〉ハンターD;Movie;1;Finished Airing;Dec 21, 1985;;;['Ajia-do', 'Trans Arts', 'Movic', 'Studio Kyuuma', 'Production Reed', 'Studio Core', 'CBS'];Sentai Filmworks, Urban Vision;Ashi Productions;Light novel;['Action', 'Horror', 'Sci-Fi', 'Supernatural'];;;1 hr. 20 min.;R+ - Mild Nudity;7.02;#3994;#2173;79,155;333;[];"10,000 years in the future, the world has become a very different place; monsters roam the land freely, and people, although equipped with high tech weapons and cybernetic horses, live a humble life more suited to centuries past. The story focuses on a small hamlet plagued by monster attacks and living under the shadow of rule by Count Magnus Lee, a powerful vampire lord who has ruled the land for thousands of years. When a young girl is bitten by the Count and chosen as his current plaything, she seeks out help of a quiet wandering stranger, D. It so happens that D is one of the world's best vampire hunters, and he takes it upon himself to cut through Magnus Lee's many minions, and put an end to the Count's rule.  (Source: AniDB)";Vampire;
90;Kaibutsu Oujo;https://myanimelist.net/anime/2130/Kaibutsu_Oujo;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Kaibutsu Ohjo, Monster Princess;怪物王女;TV;25;Finished Airing;Apr 13, 2007 to Sep 28, 2007;Spring 2007;Fridays at 01:55 (JST);['Imagin', 'Lantis', 'Index', 'Universal Pictures Japan'];ADV Films, Sentai Filmworks;Madhouse;Manga;['Action', 'Comedy', 'Horror', 'Supernatural'];;Shounen;24 min. per ep.;PG-13 - Teens 13 or older;6.99;#4124;#2214;76,915;203;['HIDIVE'];"When Hiro Hiyorimi tries to save a beautiful young woman from certain death, he ends up a dead hero himself! However, since the drop-dead girl is Hime, daughter of the King of the Monsters, his ""reward"" is to come back as a not-quite-living soldier in her honor guard of horror! That means helping fight off the army of supernatural monstrosities Hime's siblings are unleashing against her in hopes of moving up the ladder of succession.  And if facing off with vampires and zombies isn't bad enough, how can anyone be prepared for the REALLY weird ones, like were-sharks, pandas and killer dumplings? This sure as hell isn't the afterlife Hiro was hoping for, but the really sad part is that Hime is the good girl in all of this... or at least as close to good as you can come when you're on the wrong side of the gates of hell!  (Source: RightStuf)";Vampire;
91;Blue Gender;https://myanimelist.net/anime/58/Blue_Gender;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;BLUE GENDER;TV;26;Finished Airing;Oct 8, 1999 to Mar 31, 2000;Fall 1999;Thursdays at 01:55 (JST);['Youmex', 'Toshiba EMI'];Funimation;AIC;Original;['Adventure', 'Drama', 'Horror', 'Romance', 'Sci-Fi'];['Mecha', 'Military', 'Space'];;23 min. per ep.;R+ - Mild Nudity;7.03;#3963;#2215;76,897;403;[];Blue Gender takes place in the not too distant future in a world where things have gone terribly wrong for humanity. Humans have been replaced at the top of the food chain by the Blue, a race of bug-like aliens that have colonized Earth and pushed humans aside. A space station, Second Earth, has been constructed as a safe haven for humans, with the hope of one day reclaiming the Earth once more.  Yuji Kaido was cryogenically frozen, having been suffering from a disease known as B-Cells. Once awakened, he joins a team of soldiers that have come to Earth to extract him. Unfortunately, nothing goes according to plan as they make their way back to Second Earth.  Yuji will have to deal with the horrors of fighting a bloody war as he and the fighters from Second Earth look to survive. Will they be able to win back Earth without losing their humanity?;;
92;JoJo no Kimyou na Bouken: Adventure;https://myanimelist.net/anime/665/JoJo_no_Kimyou_na_Bouken__Adventure;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;JoJo's Bizarre Adventure (2000);ジョジョの奇妙な冒険 ADVENTURE;OVA;7;Finished Airing;May 25, 2000 to Jan 25, 2002;;;['Shueisha'];Super Techno Arts;APPP;Manga;['Adventure', 'Drama', 'Fantasy', 'Horror', 'Supernatural'];;Shounen;30 min. per ep.;R+ - Mild Nudity;7.21;#3058;#2218;76,720;341;['Funimation'];"Kujo Jotaro is a normal, popular Japanese high-schooler, until he thinks that he is possessed by a spirit, and locks himself in prison. After seeing his grandfather, Joseph Joestar, and fighting Joseph's friend Muhammad Abdul, Jotaro learns that the ""Spirit"" is actually Star Platinum, his Stand, or fighting energy given a semi-solid form. Later, his mother gains a Stand, and becomes sick. Jotaro learns that it is because the vampire Dio Brando has been revived 100 years after his defeat to Jonathan Joestar, Jotaro's great-great-grandfather. Jotaro decides to join Joseph and Abdul in a trip to Egypt to defeat Dio once and for all.";Vampire;
