;title;link;image_link;synonyms;japanese;type;episodes;status;aired;premiered;broadcast;producers;licensors;studios;source;genres;themes;duration;rating;score;ranked;popularity;members;favorites;demographic;platforms;synopsis;theme;genre
11;Usalullaby;https://myanimelist.net/anime/30863/Usalullaby;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;USALULLABY;Movie;1;Finished Airing;2013;['Geidai Animation'];None found, add some;None found, add some;Original;Avant Garde;5 min.;G - All Ages;4.44;#13574;#13582;681;0;;;;[];Increasing in its number, small rabbits take care of a great dolphin. Can the dolphin get to sleep by rabbits' gentle caress? May many people have good sleep and sweet dreams tonight even in the world with whining sounds and wriggle of yin and yang.  (Source: Official Site);;
12;Yasashii Fue, Tori, Ishi;https://myanimelist.net/anime/29905/Yasashii_Fue_Tori_Ishi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;やさしい笛、鳥、石;Movie;1;Finished Airing;2005;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;3 min.;G - All Ages;4.27;#13631;#13603;677;2;;;;[];A lot of wrong may happen, but no problem. A whistle, a bird, a stone, a human, they are gentle.  (Sorce: Official website);;
13;Nineko Gelée;https://myanimelist.net/anime/33914/Nineko_Gel%C3%A9e;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;逃猫ジュレ;ONA;1;Finished Airing;Oct 25, 2016;['None found', 'add some'];None found, add some;DLE;Original;;6 min.;PG-13 - Teens 13 or older;5.11;#12805;#13615;673;1;['Avant Garde', 'Fantasy', 'Horror'];;;[];An animation staring Gelée, an anthropomorphic cat character created by DLE.;Gelee;Music
14;Konohana no Sakuya Mori;https://myanimelist.net/anime/34849/Konohana_no_Sakuya_Mori;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;木ノ花ノ咲クヤ森;Movie;1;Finished Airing;2015;['None found', 'add some'];None found, add some;Tomoyasu Murata Company;Original;Avant Garde;11 min.;G - All Ages;5.99;#9507;#13646;665;1;;;;[];A horse puppet wanders into a silver world and pauses before an ethereal flower.  (Source: CoolConnections);;
15;Bollogi Iyagi;https://myanimelist.net/anime/7504/Bollogi_Iyagi;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;볼로기 이야기;ONA;1;Finished Airing;2003;['None found', 'add some'];None found, add some;None found, add some;Original;;11 min.;G - All Ages;5.39;#12038;#13650;663;0;['Avant Garde', 'Drama', 'Romance'];;;[];An award winning surreal stop motion anime from Korea using noodles, about a little Bologee (a so-called convex boy) who was born on the Concave Planet. He desperately wants to get to a another planet called Convex Star.  When he finally manages to get there he falls in love with a girl from the Convex Planet. The people living there do not approve......;;
16;Shelter;https://myanimelist.net/anime/49197/Shelter;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;SHELTER;Movie;1;Finished Airing;1980;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;7 min.;G - All Ages;6.66;#5752;#13657;663;0;;;;[];Set in a cave imagined as an air-raid shelter, images of the surrounding trees are painted over directly on the film. Vivid colors intermixed with the sound of wartime radio communications and bombing create a harmonious composition of documentary and animation.  (Source: Collaborative Cataloging Japan);;
17;Kangaeru Renshuu;https://myanimelist.net/anime/23055/Kangaeru_Renshuu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;考える練習;Movie;1;Finished Airing;2003;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;4 min.;G - All Ages;4.05;#13679;#13679;658;0;;;;[];"The description of Suwami Nogami's minimalistic line drawing piece, Imagination Practice, calls it an unending ""thought loop"". It depicts an artist sitting in front of a window with a self-portrait, like a miniature mirror image, on the desk in front of him. The window frame and the blue sky filled with moving clouds are in colour, but the figure of the artist is not coloured in. The soundtrack sounds like a skipping record that is punctuated by humourous springing noises (a la Bugs Bunny) as the image 'bounces' in an unending loop from the establishing shot into the ""drawing."" A philosophical piece, Imagination Practice considers the circular dialogue between an artist and his work.  (Source: Midnight Eye)";Thinking and Drawing: Nihon no Shinseiki Art Animation, Thinking and Drawing: Japanese Art Animation of the New Millennium;Visual Arts
18;A Woman in a Fashion Building;https://myanimelist.net/anime/37452/A_Woman_in_a_Fashion_Building;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;A WOMAN IN A FASHION BUILDING;Movie;1;Finished Airing;2015;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;50 sec.;G - All Ages;4.36;#13603;#13680;657;0;;;;[];Cosmetics, fine dining, travel, and most importantly, fashion—this woman wants it all, but her endless desires will never be satiated in this ever-changing fashion building.  [Written by MAL Rewrite];;
19;Moving Colors;https://myanimelist.net/anime/33449/Moving_Colors;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;Movie;1;Finished Airing;Apr 26, 2016;['Decovocal'];None found, add some;None found, add some;Original;Avant Garde;5 min.;G - All Ages;5.40;#12014;#13713;649;1;;;;[];An animated short film produced by past students of Taku Furukawa based on colors.;;
20;Tentoumushi no Otomurai;https://myanimelist.net/anime/12521/Tentoumushi_no_Otomurai;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;てんとう虫のおとむらい;Movie;1;Finished Airing;2006;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;5 min.;G - All Ages;5.18;#12638;#13724;646;1;;;;[];The story of the animation begins from a girl, named Eiko, mistakenly killing two ladybirds. From this incident, the girl's guilt swells up to create an illusion of seeing a button of her blouse as ladybirds, and fears for a feeling towards an existence of numerous selves in some other places. Being submerged in such continuous wave of guilt and fear, she keeps sewing hundreds of buttons to inside of her skirt.  (Source: Official Website);;Music
21;Initiation feat. Hatsune Miku;https://myanimelist.net/anime/40442/Initiation_feat_Hatsune_Miku;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;イニシエーション (feat. 初音ミク);Music;1;Finished Airing;Dec 26, 2012;['Sony Music Entertainment', 'Liberty Animation Studio'];None found, add some;None found, add some;Original;Avant Garde;3 min.;PG-13 - Teens 13 or older;5.69;#10920;#13730;644;0;;;;[];Music video directed by YKBX for the title track Initiation by Keiichirou Shibuya and Hiroki Azuma, featuring Hatsune Miku. It was included on DVD with the release of the album.;;Music
22;Schoolyard;https://myanimelist.net/anime/40001/Schoolyard;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;SCHOOLYARD;Special;1;Finished Airing;Dec 7, 2018;['None found', 'add some'];None found, add some;Suspenders;Original;Avant Garde;45 sec.;G - All Ages;5.53;#11557;#13746;641;1;;;;[];Space Shower TV Station ID directed by Kouhei Yoshino, with music by Serph.;Space Shower TV Station ID;Music
23;Akai Kutsu! Onnanoko!;https://myanimelist.net/anime/30396/Akai_Kutsu_Onnanoko;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;赤い靴！女の子！;Movie;1;Finished Airing;2009;['Takun Manga Box'];None found, add some;None found, add some;Original;Avant Garde;16 sec.;G - All Ages;4.17;#13659;#13758;639;0;;;;[];A short animation film by Taku Furukawa.;;
24;Goldfish Fetish;https://myanimelist.net/anime/22167/Goldfish_Fetish;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;GOLDFISH FETISH;Movie;1;Finished Airing;2002;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;7 min.;PG-13 - Teens 13 or older;5.20;#12600;#13823;624;0;;;;[];No synopsis information has been added to this title. Help improve our database by adding a synopsis here.;;
25;Aya Hito Shiki to Iu na no Ishi Hata;https://myanimelist.net/anime/29973/Aya_Hito_Shiki_to_Iu_na_no_Ishi_Hata;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;彩人四季という名の意思畑;ONA;1;Finished Airing;2006;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;5 min.;G - All Ages;4.23;#13640;#13897;607;0;;;;[];Short animation by Taro Shinkai.;;
26;Box;https://myanimelist.net/anime/31258/Box;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;BOX;Movie;1;Finished Airing;1982;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;7 min.;G - All Ages;4.91;#13134;#13948;596;0;;;;[];Film by Takashi Ito.;;
27;Hanasu na★;https://myanimelist.net/anime/37792/Hanasu_na%E2%98%85;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;離すな★;Special;1;Finished Airing;Apr 1, 2018;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;15 sec.;G - All Ages;5.36;#12153;#13959;595;0;;;;[];A televised advertisement for Mode Gakuen, a vocational college in Japan located in Tokyo, Osaka, Nagoya, and Paris. They specialize in fashion, styling, graphic design both in techniques as well as business. Every year they make a new student recruitment video with a tag line. For 2018, the video was animated with the tag line Suki na Koto dake wa, Shindemo Hanasu na★.;Mode Gakuen 2018, Suki na Koto dake wa, Shindemo Hanasu na★;
28;Propagate;https://myanimelist.net/anime/35406/Propagate;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;PROPAGATE(開花);Movie;1;Finished Airing;1935;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;4 min.;G - All Ages;4.60;#13482;#13956;595;0;;;;[];Dynamically expressing the growth and prosperity of organic plants with geometric figures.;Kaika;
29;Shoujo Nosferatu;https://myanimelist.net/anime/49314/Shoujo_Nosferatu;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;少女ノスフェラトゥ;Movie;1;Finished Airing;2017;['Geidai Animation'];None found, add some;None found, add some;Original;;6 min.;G - All Ages;6.04;#9265;#13993;589;1;['Avant Garde', 'Horror'];;;[];Graduate Work 2017 from Chinami Taniguchi, Tokyo University of the Arts, Graduate School of Film and New Media, Department of Animation.  The story of Nosferatu vampires glimpsed by a boy who gets lost in a forest.  (Source: Geidai Animation);;Psychological
30;Against;https://myanimelist.net/anime/34887/Against;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;AGAINST;ONA;1;Finished Airing;Apr 14, 2013;['None found', 'add some'];None found, add some;None found, add some;Original;;16 sec.;G - All Ages;5.14;#12731;#14051;578;0;['Avant Garde', 'Fantasy'];;;[];Some are skilled with weapons, while others boast natural appendages that aid in attacking or defending. It is unclear who their enemy is, but it is best to take a few steps back because these little red-and-white creatures pack a powerful punch!  [Written by MAL Rewrite];;
31;Commercial War;https://myanimelist.net/anime/29988/Commercial_War;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;Commercial War;Movie;1;Finished Airing;1971;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;4 min.;R+ - Mild Nudity;4.68;#13420;#14052;578;0;;;;[];In a mixture of cut-out and hand-drawn animation techniques, Tanaami jumbles together symbols of American consumer culture –such as Coca Cola, Superman, Space Age astronauts and hamburgers– with occasional Japanese iconography, such as the squat toilet. The frenetic pace of the animation, the catchphrases and songs on the soundtrack as well as the hand-drawn CRT television monitor that occasionally frames the images makes reference to television commercials.  (Source: Collaborative Cataloging Japan);;
32;Devour Dinner;https://myanimelist.net/anime/19209/Devour_Dinner;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;DEVOUR DINNER;Movie;1;Finished Airing;2008;['Mirai Film'];None found, add some;None found, add some;Unknown;;10 min.;G - All Ages;5.32;#12278;#14077;574;0;['Avant Garde', 'Fantasy'];;;[];Various scenes of predation.;;
33;Jikkyou Chuukei;https://myanimelist.net/anime/33886/Jikkyou_Chuukei;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;実況中継;Music;1;Finished Airing;Feb 4, 2014;['Universal Music Japan'];None found, add some;P.I.C.S.;Music;Avant Garde;5 min.;R+ - Mild Nudity;5.41;#11984;#14084;572;0;;;;[];Official music video for Radwimps' Jikkyou Chuukei song.;Radwimps, Jikkyo Chukei;Music
34;Five Fire Fish;https://myanimelist.net/anime/35450/Five_Fire_Fish;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;;Movie;1;Finished Airing;May 2013;['None found', 'add some'];None found, add some;Yamamura Animation, Inc.;Original;Avant Garde;1 min.;G - All Ages;4.61;#13478;#14130;565;1;;;;[];A short animation by Koji Yamamura, created in cooperation with the National Film Board of Canada.;;
35;In Search of Axis;https://myanimelist.net/anime/34720/In_Search_of_Axis;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;In Search of Axis;Special;3;Finished Airing;1989 to 1991;['None found', 'add some'];None found, add some;Polygon Pictures;Original;Avant Garde;2 min. per ep.;G - All Ages;4.55;#13512;#14142;563;4;;;;[];Polygon Pictures Inc.'s first animated work.;In Search of New Axis, In Search of Muscular Axis, In Search of Performing Axis;
36;Usatalk;https://myanimelist.net/anime/36280/Usatalk;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;usatalk;ONA;1;Finished Airing;Aug 6, 2010;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;1 min.;G - All Ages;4.06;#13677;#14141;563;1;;;;[];Usa greets you.  (Source: Official site);;
37;Kiseki;https://myanimelist.net/anime/29633/Kiseki;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;軌跡;Movie;1;Finished Airing;1963;['None found', 'add some'];None found, add some;None found, add some;Unknown;Avant Garde;3 min.;G - All Ages;4.70;#13394;#14177;557;0;;;;[];Experimental animation by Kuri Youji.;;Music
38;Such a Good Place to Die;https://myanimelist.net/anime/34632/Such_a_Good_Place_to_Die;https://cdn.myanimelist.net/resources/mxj_panel/2023/20230201162310_20230214_readthismanga-2023-2.png;such a good place to die;Movie;1;Finished Airing;Mar 29, 2015;['None found', 'add some'];None found, add some;None found, add some;Original;Avant Garde;3 min.;PG-13 - Teens 13 or older;5.61;#11268;#14185;556;0;;;;[];A short film by Onohana.;;
