;title;link;preliminary
48;Banana Fish;https://myanimelist.net/anime/36649/Banana_Fish;off
49;Fumetsu no Anata e;https://myanimelist.net/anime/41025/Fumetsu_no_Anata_e;off
26;Akira;https://myanimelist.net/anime/47/Akira;off
48;Komi-san wa, Comyushou desu.;https://myanimelist.net/anime/48926/Komi-san_wa_Comyushou_desu;off
49;Zero no Tsukaima;https://myanimelist.net/anime/1195/Zero_no_Tsukaima;off
73;Mushishi;https://myanimelist.net/anime/457/Mushishi;off
115;Bungou Stray Dogs 2nd Season;https://myanimelist.net/anime/32867/Bungou_Stray_Dogs_2nd_Season;off
50;Danshi Koukousei no Nichijou;https://myanimelist.net/anime/11843/Danshi_Koukousei_no_Nichijou;off
51;Kaguya-sama wa Kokurasetai: Ultra Romantic;https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic;off
27;Toaru Majutsu no Index;https://myanimelist.net/anime/4654/Toaru_Majutsu_no_Index;off
21;Hotarubi no Mori e;https://myanimelist.net/anime/10408/Hotarubi_no_Mori_e;off
52;Boku wa Tomodachi ga Sukunai;https://myanimelist.net/anime/10719/Boku_wa_Tomodachi_ga_Sukunai;off
28;Orange;https://myanimelist.net/anime/32729/Orange;off
74;Ookami to Koushinryou;https://myanimelist.net/anime/2966/Ookami_to_Koushinryou;off
53;Great Teacher Onizuka;https://myanimelist.net/anime/245/Great_Teacher_Onizuka;off
29;FLCL;https://myanimelist.net/anime/227/FLCL;off
55;Dragon Ball Super;https://myanimelist.net/anime/30694/Dragon_Ball_Super;off
76;Ookami Kodomo no Ame to Yuki;https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki;off
13;Higurashi no Naku Koro ni;https://myanimelist.net/anime/934/Higurashi_no_Naku_Koro_ni;off
77;Koutetsujou no Kabaneri;https://myanimelist.net/anime/28623/Koutetsujou_no_Kabaneri;off
7;Free!;https://myanimelist.net/anime/18507/Free;off
56;High School DxD BorN;https://myanimelist.net/anime/24703/High_School_DxD_BorN;off
57;Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai;https://myanimelist.net/anime/29786/Shimoneta_to_Iu_Gainen_ga_Sonzai_Shinai_Taikutsu_na_Sekai;off
78;Gate: Jieitai Kanochi nite, Kaku Tatakaeri;https://myanimelist.net/anime/28907/Gate__Jieitai_Kanochi_nite_Kaku_Tatakaeri;off
79;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II;https://myanimelist.net/anime/37347/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_II;off
30;Toki wo Kakeru Shoujo;https://myanimelist.net/anime/2236/Toki_wo_Kakeru_Shoujo;off
80;InuYasha;https://myanimelist.net/anime/249/InuYasha;off
81;Mushoku Tensei: Isekai Ittara Honki Dasu Part 2;https://myanimelist.net/anime/45576/Mushoku_Tensei__Isekai_Ittara_Honki_Dasu_Part_2;off
49;Fruits Basket 1st Season;https://myanimelist.net/anime/38680/Fruits_Basket_1st_Season;off
31;Shinsekai yori;https://myanimelist.net/anime/13125/Shinsekai_yori;off
58;Yamada-kun to 7-nin no Majo;https://myanimelist.net/anime/28677/Yamada-kun_to_7-nin_no_Majo;off
124;Owari no Seraph: Nagoya Kessen-hen;https://myanimelist.net/anime/28927/Owari_no_Seraph__Nagoya_Kessen-hen;off
8;Haikyuu!! To the Top Part 2;https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2;off
59;Ijiranaide, Nagatoro-san;https://myanimelist.net/anime/42361/Ijiranaide_Nagatoro-san;off
125;K;https://myanimelist.net/anime/14467/K;off
60;Sakamoto desu ga?;https://myanimelist.net/anime/32542/Sakamoto_desu_ga;off
24;Kakegurui××;https://myanimelist.net/anime/37086/Kakegurui%C3%97%C3%97;off
82;Ao no Exorcist: Kyoto Fujouou-hen;https://myanimelist.net/anime/33506/Ao_no_Exorcist__Kyoto_Fujouou-hen;off
61;Spy x Family Part 2;https://myanimelist.net/anime/50602/Spy_x_Family_Part_2;off
83;Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou;https://myanimelist.net/anime/40496/Maou_Gakuin_no_Futekigousha__Shijou_Saikyou_no_Maou_no_Shiso_Tensei_shite_Shison-tachi_no_Gakkou_e_Kayou;off
9;Kuroko no Basket 3rd Season;https://myanimelist.net/anime/24415/Kuroko_no_Basket_3rd_Season;off
62;Grand Blue;https://myanimelist.net/anime/37105/Grand_Blue;off
63;Monster Musume no Iru Nichijou;https://myanimelist.net/anime/30307/Monster_Musume_no_Iru_Nichijou;off
32;Trigun;https://myanimelist.net/anime/6/Trigun;off
64;Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu;https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu;off
65;Chuunibyou demo Koi ga Shitai! Ren;https://myanimelist.net/anime/18671/Chuunibyou_demo_Koi_ga_Shitai_Ren;off
66;Nisemonogatari;https://myanimelist.net/anime/11597/Nisemonogatari;off
33;Kiznaiver;https://myanimelist.net/anime/31798/Kiznaiver;off
130;Boku no Hero Academia the Movie 1: Futari no Hero;https://myanimelist.net/anime/36896/Boku_no_Hero_Academia_the_Movie_1__Futari_no_Hero;off
34;Serial Experiments Lain;https://myanimelist.net/anime/339/Serial_Experiments_Lain;off
86;Sword Art Online: Alicization - War of Underworld;https://myanimelist.net/anime/39597/Sword_Art_Online__Alicization_-_War_of_Underworld;off
67;NHK ni Youkoso!;https://myanimelist.net/anime/1210/NHK_ni_Youkoso;off
132;Enen no Shouboutai: Ni no Shou;https://myanimelist.net/anime/40956/Enen_no_Shouboutai__Ni_no_Shou;off
87;Wonder Egg Priority;https://myanimelist.net/anime/43299/Wonder_Egg_Priority;off
73;Domestic na Kanojo;https://myanimelist.net/anime/37982/Domestic_na_Kanojo;off
88;Hai to Gensou no Grimgar;https://myanimelist.net/anime/31859/Hai_to_Gensou_no_Grimgar;off
35;Accel World;https://myanimelist.net/anime/11759/Accel_World;off
89;Sword Art Online Movie: Ordinal Scale;https://myanimelist.net/anime/31765/Sword_Art_Online_Movie__Ordinal_Scale;off
68;Tsurezure Children;https://myanimelist.net/anime/34902/Tsurezure_Children;off
69;Eromanga-sensei;https://myanimelist.net/anime/32901/Eromanga-sensei;off
136;Hellsing;https://myanimelist.net/anime/270/Hellsing;off
90;Rokudenashi Majutsu Koushi to Akashic Records;https://myanimelist.net/anime/32951/Rokudenashi_Majutsu_Koushi_to_Akashic_Records;off
91;Nanatsu no Taizai: Seisen no Shirushi;https://myanimelist.net/anime/31722/Nanatsu_no_Taizai__Seisen_no_Shirushi;off
20;Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen;https://myanimelist.net/anime/36949/Shokugeki_no_Souma__San_no_Sara_-_Tootsuki_Ressha-hen;off
92;Nanatsu no Taizai: Kamigami no Gekirin;https://myanimelist.net/anime/39701/Nanatsu_no_Taizai__Kamigami_no_Gekirin;off
93;Tate no Yuusha no Nariagari Season 2;https://myanimelist.net/anime/40356/Tate_no_Yuusha_no_Nariagari_Season_2;off
70;Isekai Maou to Shoukan Shoujo no Dorei Majutsu;https://myanimelist.net/anime/37210/Isekai_Maou_to_Shoukan_Shoujo_no_Dorei_Majutsu;off
141;91 Days;https://myanimelist.net/anime/32998/91_Days;off
71;Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan;https://myanimelist.net/anime/39547/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru_Kan;off
72;Tonikaku Kawaii;https://myanimelist.net/anime/41389/Tonikaku_Kawaii;off
